losses mu,losses std,scores mu,scores std
0.0185403712094,0.035337690264,0.60137873888,0.153658345342
0.00568033521995,0.00179909379221,0.708652853966,0.0685200244188
0.00511222146451,0.00168533064425,0.738698005676,0.0619449429214
0.00461481465027,0.00155787321273,0.765140533447,0.0548020079732
0.00439495360479,0.00150829018094,0.777568995953,0.0525747388601
0.00407810416073,0.0012987353839,0.79332947731,0.0470928438008
0.00396376289427,0.00134755775798,0.799803197384,0.0457665547729
0.00377224804834,0.0012629122939,0.810207545757,0.0424756519496
0.00366273592226,0.00120165606495,0.815704464912,0.0411715060472
0.00351967895404,0.00116911786608,0.823813557625,0.0387925356627
0.00347583321854,0.00117271963973,0.826191961765,0.0392848327756
0.00337714492343,0.00118895620108,0.831815898418,0.0378330536187
0.00332740135491,0.00113949249499,0.834113121033,0.0367278084159
0.00325020798482,0.00111598114017,0.837990105152,0.036138035357
0.00323960650712,0.00109169236384,0.839150488377,0.036377504468
0.00317501137033,0.00107578653842,0.842404067516,0.034854311496
0.00314928079024,0.00105502957013,0.843950927258,0.0334673933685
0.00312782474793,0.00108684471343,0.845228731632,0.0348724611104
0.00311187910847,0.00111125630792,0.846191883087,0.034827824682
0.00308156665415,0.0010587075958,0.84780138731,0.0331784710288
