losses mu,losses std,scores mu,scores std
0.00956780649722,0.00218196655624,0.468296200037,0.129534348845
0.00861817318946,0.00245167803951,0.538654148579,0.0965756326914
0.00871472526342,0.00246140826494,0.562802910805,0.0986409708858
0.00818317197263,0.00211388175376,0.601259946823,0.0856327190995
0.00809854548424,0.00222459249198,0.611998796463,0.0989510640502
0.00720251724124,0.00177859724499,0.651954591274,0.0696122720838
0.00800201669335,0.00192887207959,0.611288309097,0.0843812301755
0.00731824617833,0.0019301547436,0.653921604156,0.083530433476
0.00748480251059,0.00206763157621,0.64035987854,0.0858217403293
0.00718617392704,0.00187212822493,0.667133271694,0.0749236866832
0.00729354191571,0.00165833113715,0.649917662144,0.0788765847683
0.0072171180509,0.00191800843459,0.666085898876,0.0787039995193
0.00740174902603,0.00222738250159,0.658079385757,0.0848065763712
0.00811340939254,0.00231187627651,0.613218784332,0.0940540283918
0.00738060614094,0.00218344805762,0.650569558144,0.0714887008071
0.00767414690927,0.0017449897714,0.638878941536,0.0833863690495
0.00768634816632,0.00223857257515,0.637140512466,0.0904318541288
0.00759812165052,0.0019408519147,0.64560675621,0.0814504176378
0.00784519780427,0.00200102571398,0.62625336647,0.0835238918662
0.00746158044785,0.0019254500512,0.639015257359,0.0796332731843
