losses mu,losses std,scores mu,scores std
0.00855414010584,0.00133726419881,0.561404824257,0.0698252916336
0.00844737980515,0.00206248043105,0.584399044514,0.0576193444431
0.00728457141668,0.00207038945518,0.637348592281,0.0655730813742
0.00704757869244,0.00148748932406,0.657989501953,0.0639903098345
0.00694654043764,0.00162313668989,0.67518633604,0.0733800455928
0.00654674693942,0.0014665791532,0.687163293362,0.0606034174562
0.00656450400129,0.00109960511327,0.691889584064,0.0424972102046
0.00645212968811,0.00128346728161,0.698208928108,0.0519433841109
0.00635350029916,0.00141509494279,0.696848154068,0.0742298588157
0.00634248321876,0.00158567773178,0.705763578415,0.0603656284511
0.00643595028669,0.0017927386798,0.69596362114,0.0710225328803
0.00651591457427,0.00131191045512,0.691428422928,0.0479790791869
0.00639329571277,0.00168774661142,0.699455022812,0.0661461055279
0.00643310835585,0.00153622659855,0.706260323524,0.061376541853
0.00647231144831,0.00135332508944,0.698691546917,0.0723587796092
0.00642574205995,0.00154180836398,0.693885803223,0.0600120276213
0.00649434793741,0.00133952067699,0.699220478535,0.0535410754383
0.00634628534317,0.00120763829909,0.70160150528,0.0563738532364
0.00643634563312,0.00148934021126,0.695272624493,0.0600738078356
0.00635866448283,0.00153076741844,0.698173522949,0.065931789577
