losses mu,losses std,scores mu,scores std
0.0184249281883,0.0326848402619,0.548626184464,0.133438453078
0.00631185760722,0.00189823959954,0.668335735798,0.0720033496618
0.00563629204407,0.00178381777368,0.708627581596,0.06440320611
0.00501968199387,0.00156464672182,0.743546664715,0.0562339685857
0.00477759819478,0.00150693464093,0.756412267685,0.0546967349946
0.00444638123736,0.00143389613368,0.775410294533,0.0496326908469
0.00429206248373,0.00139408221003,0.784757852554,0.0454880706966
0.00404126616195,0.00132966483943,0.797724306583,0.0447446666658
0.00394009007141,0.00129860837478,0.803830862045,0.0416193269193
0.00375525304116,0.00123082147911,0.813345193863,0.0411972030997
0.00368666625582,0.00121961883269,0.817296564579,0.0396619513631
0.00354882655665,0.00117911852431,0.825220227242,0.0377404130995
0.00351036526263,0.00117448880337,0.826971650124,0.0374779589474
0.00340484618209,0.0011131480569,0.832988262177,0.0355187021196
0.00337793095969,0.00113168859389,0.835022985935,0.0363158248365
0.00330853927881,0.00110407546163,0.838764727116,0.0351563468575
0.00328345177695,0.0011050227331,0.840140223503,0.0349940694869
0.00325294816867,0.00111657870002,0.842142164707,0.034734223038
0.00322722736746,0.00112159748096,0.843506038189,0.0342907682061
0.00319736730307,0.00108317099512,0.845370590687,0.0336961373687
