,0
0,0.636797189713
1,0.674933850765
2,0.692585647106
3,0.699966847897
4,0.702424049377
5,0.701017200947
6,0.693996727467
7,0.681934356689
8,0.669796228409
9,0.65773332119
10,0.640572428703
11,0.61689633131
12,0.591760396957
13,0.558313727379
14,0.520645260811
15,0.467885434628
16,0.41291192174
17,0.349609196186
18,0.280277967453
19,0.199689030647
